categ,quality_score,file,page_num,line_num,text,original_text,split_ws,split_we,lang,lang_score,original_lang,orig_lang_score,perplex,word_count,char_count,garbage_density,upper,repeated,ldl_fuses,fused_words,gibberish,weird_wx,word_weird,vowel_ratio,rot_ratio,caps_header,allcaps_novowel,lowppl_clear,cleanprose_clear,trash_threshold,noisy_threshold,clear_threshold,pp_dedup,pp_surrounded_trash,pp_inverted_run,pp_page_context
Clear,0.9726,CTX199603106,3,6,"nevelkých rozměrů, spojovaných vápennou maltou z hrubého říčního","nevelkých rozměrů, spojovaných vápennou maltou z hrubého říčního",,,ces_Latn,0.9999,ces_Latn,0.9999,53.75,8,64,0.0156,0,1,0,0,0,0,0.0437,0.4035,0.5179,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9697,CTX199603106,3,7,"písku. Přestože opticky nevypadá podíl vápna v maltě jako výrazný,","písku. Přestože opticky nevypadá podíl vápna v maltě jako výrazný,",,,ces_Latn,1.0000,ces_Latn,1.0000,99.00,10,66,0.0303,0,0,0,0,0,0,0.0000,0.4035,0.5273,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9762,CTX199603106,3,8,malta samotná je kvalitní a velmi pevná. Nejmarkantnější partií,malta samotná je kvalitní a velmi pevná. Nejmarkantnější partií,,,ces_Latn,1.0000,ces_Latn,1.0000,61.75,9,63,0.0159,0,0,0,1,0,0,0.0000,0.4000,0.3889,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9753,CTX199603106,3,9,"zdivá byla její líc, tvořená řádkovaným obkladem z pečlivě","zdivá byla její líc, tvořená řádkovaným obkladem z pečlivě",,,ces_Latn,1.0000,ces_Latn,1.0000,93.00,9,58,0.0172,0,0,0,0,0,0,0.0000,0.4000,0.4898,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9696,CTX199603106,3,10,opracovaných pískovcových kvádrů narezavěle Slutého zbarvení (foto,opracovaných pískovcových kvádrů narezavěle Slutého zbarvení (foto,,,ces_Latn,1.0000,ces_Latn,1.0000,197.00,7,66,0.0152,0,0,0,0,0,0,0.0000,0.4000,0.4746,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9137,CTX199603106,3,11,1-3). Nejvyšší odhalená partie byla tvořena čtyřmi pískovcovými,1-3). Nejvyšší odhalená partie byla tvořena čtyřmi pískovcovými,,,ces_Latn,1.0000,ces_Latn,1.0000,35.25,8,63,0.0476,0,1,0,0,0,0,0.0437,0.4074,0.4902,False,False,True,False,False,False,False,False,False,False,False
Noisy,0.7999,CTX199603106,3,12,řádky o ce 1 kové výšce 156 cm. Dva horn í řádky o shodné výšce 35 cm,řádky o ce 1 kové výšce 156 cm. Dva horn í řádky o shodné výšce 35 cm,,,ces_Latn,1.0000,ces_Latn,1.0000,32.00,17,69,0.0145,0,0,0,0,0,0,0.1647,0.3830,0.5000,False,False,False,False,False,True,False,False,False,False,False
Clear,0.9798,CTX199603106,3,13,byly dochovány jen u severní stěny místnosti a představují doposud,byly dochovány jen u severní stěny místnosti a představují doposud,,,ces_Latn,1.0000,ces_Latn,1.0000,168.00,10,66,0.0000,0,0,0,0,0,0,0.0000,0.4211,0.6667,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9272,CTX199603106,3,14,známý úsek zdivá. Nově byly odkryty dalSÍ dva pískovcové řádky.,známý úsek zdivá. Nově byly odkryty dalSÍ dva pískovcové řádky.,,,ces_Latn,1.0000,ces_Latn,1.0000,119.50,10,63,0.0317,1,0,0,0,0,0,0.0250,0.4074,0.5769,False,False,False,False,False,False,True,False,False,False,False
Clear,0.8608,CTX199603106,3,15,Horní z nich kolísá ve výšce 32 - 36 cm a u 5 kompletně dochovaných,Horní z nich kolísá ve výšce 32 - 36 cm a u 5 kompletně dochovaných,,,ces_Latn,1.0000,ces_Latn,1.0000,66.00,15,67,0.0149,0,0,0,0,0,0,0.0167,0.3750,0.4681,False,False,False,False,False,False,True,False,False,False,False
Noisy,0.7874,CTX199603106,3,16,"kvádrů činil jejich horizontální rozměr 126, 120, 122, 130 a 116 cm.","kvádrů činil jejich horizontální rozměr 126, 120, 122, 130 a 116 cm.",,,ces_Latn,1.0000,ces_Latn,1.0000,11.62,12,68,0.0588,0,0,0,0,0,0,0.0000,0.3333,0.3421,False,False,False,False,False,True,False,False,False,False,False
Noisy,0.7999,CTX199603106,3,17,Spodní řádek dosahoval výšky 52 cm a skládal se z kvádrů dlouhých,Spodní řádek dosahoval výšky 52 cm a skládal se z kvádrů dlouhých,,,ces_Latn,1.0000,ces_Latn,1.0000,28.38,12,65,0.0000,0,0,0,0,0,0,0.0000,0.3654,0.4808,False,False,False,False,False,True,False,False,False,False,False
Noisy,0.6611,CTX199603106,3,18,"70, 69, 52, 120, 46, 73, 78, 110 a 120 cm. Většina z kvádrů byla na","70, 69, 52, 120, 46, 73, 78, 110 a 120 cm. Většina z kvádrů byla na",,,ces_Latn,1.0000,ces_Latn,1.0000,11.44,16,67,0.1194,0,0,0,0,0,0,0.2844,0.2903,0.3913,False,False,False,False,False,True,False,False,False,False,False
Clear,0.9875,CTX199603106,3,19,své lícové stěně opatřena důlkem pro lepší uchycení do nůžkové,své lícové stěně opatřena důlkem pro lepší uchycení do nůžkové,,,ces_Latn,1.0000,ces_Latn,1.0000,61.75,10,62,0.0000,0,0,0,0,0,0,0.0000,0.4340,0.4906,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9791,CTX199603106,3,20,"krenpy, při čemě podstatně větší procento výskytu důlku bylo","krenpy, při čemě podstatně větší procento výskytu důlku bylo",,,ces_Latn,1.0000,ces_Latn,1.0000,54.50,9,60,0.0167,0,0,0,0,0,0,0.0000,0.3846,0.5294,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9764,CTX199603106,3,21,zaznamenáno v dolní z dvou řádek souvisle dochovaného zdivá. Důlky,zaznamenáno v dolní z dvou řádek souvisle dochovaného zdivá. Důlky,,,ces_Latn,1.0000,ces_Latn,1.0000,112.00,10,66,0.0152,0,0,0,0,0,0,0.0000,0.4211,0.6429,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9780,CTX199603106,3,22,"byly situovány horizontálně zhruba uprostřed kvádru, ve vertikálním","byly situovány horizontálně zhruba uprostřed kvádru, ve vertikálním",,,ces_Latn,1.0000,ces_Latn,1.0000,96.00,8,67,0.0149,0,0,0,0,0,0,0.0000,0.4000,0.5424,False,False,False,False,False,False,True,False,False,False,False
Clear,0.8846,CTX199603106,3,23,rozměru byly umístěny blíže horní hrany ( zhruba 15 cm pod) lícového,rozměru byly umístěny blíže horní hrany ( zhruba 15 cm pod) lícového,,,ces_Latn,1.0000,ces_Latn,1.0000,79.50,12,68,0.0294,0,0,0,0,0,0,0.0000,0.4000,0.5283,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9097,CTX199603106,3,24,kvádru. Ma1 ta vytlačená z úzkých spár byla rozetřena do plochy,kvádru. Ma1 ta vyt1ačená z úzkých spár by1a rozetřena do plochy,,,ces_Latn,0.9998,ces_Latn,0.9998,108.50,11,63,0.0159,0,0,1,0,0,0,0.0136,0.3846,0.4706,False,False,False,False,False,False,True,False,False,False,False
Clear,0.8156,CTX199603106,3,25,"kvádrů, dosahují ce tak aä 6 cm šfřky. Stavební úpravy v sousední m","kvádrů, dosahují ce tak aä 6 cm šfřky. Stavební úpravy v sousední m",,,ces_Latn,1.0000,ces_Latn,1.0000,158.00,13,67,0.0299,0,0,0,0,0,0,0.0846,0.3889,0.5000,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9822,CTX199603106,3,26,"východním prostoru sklepa rovně zasáhly pod úroveň podlahy, i když","východním prostoru sklepa rovně zasáhly pod úroveň podlahy, i když",,,ces_Latn,1.0000,ces_Latn,1.0000,40.00,10,66,0.0152,0,0,0,0,0,0,0.0000,0.3860,0.5536,False,False,True,False,False,False,False,False,False,False,False
Noisy,0.7999,CTX199603106,3,27,ve výrazně omezenější míře. Zhruba 1 m široké průkopy podél západní,ve výrazně omezenější míře. Zhruba 1 m široké průkopy podél západní,,,ces_Latn,1.0000,ces_Latn,1.0000,35.75,11,67,0.0149,0,0,0,0,0,0,0.1000,0.4286,0.5273,False,False,False,False,False,True,False,False,False,False,False
Clear,0.9866,CTX199603106,3,28,části severní stěny a podél dodatečné příčky ve sklepě prostoru,části severní stěny a podél dodatečné příčky ve sklepě prostoru,,,ces_Latn,1.0000,ces_Latn,1.0000,74.50,10,63,0.0000,0,0,0,0,0,0,0.0000,0.4074,0.5370,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9477,CTX199603106,3,29,zaznamenaly znovu existenci opukového zdivá s maltou obdobného,zaznamenaly znovu existenci opukového zdivá s maltou obdobného,,,ces_Latn,0.8238,ces_Latn,0.8238,392.00,8,62,0.0000,0,0,0,0,0,0,0.0250,0.4545,0.6727,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9792,CTX199603106,3,30,složení jako v západní partií sklepa. V žádné z obou částí nebyla,složení jako v západní partií sklepa. V žádné z obou částí nebyla,,,ces_Latn,1.0000,ces_Latn,1.0000,31.62,12,65,0.0154,0,0,0,0,1,0,0.0000,0.4259,0.5094,False,False,True,False,False,False,False,False,False,False,False
Empty,0.0,CTX199603106,3,31,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX199603106,3,32,2,2,,,,0.0,,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX199603106,4,1,3406/96,3406/96,,,,0.0,,0.0,0.0,0,7,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9746,CTX199603106,4,2,"hmota zdivá ukončena lícem, pouze v severní zdi stávajícího sklepa","hmota zdivá ukončena lícem, pouze v severní zdi stávajícího sklepa",,,ces_Latn,1.0000,ces_Latn,1.0000,135.00,10,66,0.0152,0,0,0,0,0,0,0.0000,0.4211,0.5536,False,False,False,False,False,False,True,False,False,False,False
Noisy,0.7999,CTX199603106,4,3,byla v nevelké dochované výšce ve vzdálenosti 420 cm od západní zdi,byla v nevelké dochované výšce ve vzdálenosti 420 cm od západní zdi,,,ces_Latn,1.0000,ces_Latn,1.0000,40.00,12,67,0.0000,0,0,0,0,0,0,0.0000,0.3962,0.6038,False,False,False,False,False,True,False,False,False,False,False
